# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       9.999999990000e+08       7.540594946185e-16       4.623913846444e-04       2.162670053333e+12       1.419195244710e+04       1.419195244710e-05       1.419195244710e+13       2.669617902647e-04       2.751560535470e+24       2.476759024775e+18       1.194785104336e+19       3.525794455262e-08       2.212282323415e+22       3.333333333333e-01       1.903443976270e+24       4.677141759584e+24       1.789247856226e-14       2.000000000000e+09 
       9.930486583471e+08       7.646532764586e-16       4.656281234929e-04       2.132707666508e+12       1.419195244386e+04       1.429129611150e-05       1.409329934789e+13       2.688305221635e-04       2.675846457697e+24       2.425466845186e+18       1.170041828334e+19       3.525794455262e-08       2.151407443966e+22       3.333333333333e-01       1.851067332762e+24       4.548441990784e+24       2.496220563739e-07       1.433565497461e+02 
       9.861456388307e+08       7.753958902245e-16       4.688875214924e-04       2.103160389221e+12       1.419195244060e+04       1.439133518152e-05       1.399533201998e+13       2.707123351610e-04       2.602215787318e+24       2.375236895574e+18       1.145810970593e+19       3.525794455262e-08       2.092207645001e+22       3.333333333333e-01       1.800131925675e+24       4.423283622789e+24       4.992440922175e-07       7.167827706601e+01 
       9.792906045543e+08       7.862894268537e-16       4.721697332570e-04       2.074022470396e+12       1.419195243732e+04       1.449207452499e-05       1.389804569634e+13       2.726073208244e-04       2.530611195677e+24       2.326047177800e+18       1.122081919242e+19       3.525794455262e-08       2.034636833703e+22       3.333333333333e-01       1.750598096825e+24       4.301569207706e+24       7.488661254617e-07       4.778551836921e+01 
       9.724832219561e+08       7.973360066589e-16       4.754749206768e-04       2.045288238633e+12       1.419195243401e+04       1.459351904383e-05       1.380143564307e+13       2.745155713620e-04       2.460976931617e+24       2.277876149292e+18       1.098844282174e+19       3.525794455262e-08       1.978650185581e+22       3.333333333333e-01       1.702427279299e+24       4.183203979090e+24       9.984881561458e-07       3.583913881054e+01 
       9.657231597930e+08       8.085377797411e-16       4.788032456418e-04       2.016952101109e+12       1.419195243069e+04       1.469567367426e-05       1.370549715919e+13       2.764371796276e-04       2.393258778073e+24       2.230702713613e+18       1.076087882498e+19       3.525794455262e-08       1.924204109571e+22       3.333333333333e-01       1.655581967417e+24       4.068095778167e+24       1.248110184310e-06       2.867131100992e+01 
       9.590100891247e+08       8.198969264082e-16       4.821548682230e-04       1.989008542483e+12       1.419195242733e+04       1.479854338706e-05       1.361022557638e+13       2.783722391249e-04       2.327404009860e+24       2.184506211219e+18       1.053802754077e+19       3.525794455262e-08       1.871256214094e+22       3.333333333333e-01       1.610025687535e+24       3.956154982070e+24       1.497732209994e-06       2.389275911694e+01 
       9.523436832971e+08       8.314156575990e-16       4.855299521296e-04       1.961452123827e+12       1.419195242396e+04       1.490213318780e-05       1.351561625880e+13       2.803208440123e-04       2.263361352618e+24       2.139266410413e+18       1.031979137171e+19       3.525794455262e-08       1.819765274050e+22       3.333333333333e-01       1.565722969649e+24       3.847294434066e+24       1.747354233239e-06       2.047950775312e+01 
       9.457236179271e+08       8.430962153137e-16       4.889286610705e-04       1.934277481566e+12       1.419195242056e+04       1.500644811712e-05       1.342166460281e+13       2.822830891070e-04       2.201080942896e+24       2.094963498485e+18       1.010607474155e+19       3.525794455262e-08       1.769691198721e+22       3.333333333333e-01       1.522639319771e+24       3.741429375693e+24       1.996976254088e-06       1.791956922466e+01 
       9.391495708863e+08       8.549408730504e-16       4.923511623929e-04       1.907479326433e+12       1.419195241714e+04       1.511149325089e-05       1.332836603679e+13       2.842590698901e-04       2.140514289319e+24       2.051578073034e+18       9.896784053373e+18       3.525794455262e-08       1.720995000557e+22       3.333333333333e-01       1.480741193081e+24       3.638477380768e+24       2.246598272583e-06       1.592850592207e+01 
       9.326212222858e+08       8.669519362475e-16       4.957976198057e-04       1.881052442440e+12       1.419195241369e+04       1.521727370056e-05       1.323571602087e+13       2.862488825111e-04       2.081614234844e+24       2.009091133470e+18       9.691827648605e+18       3.525794455262e-08       1.673638764820e+22       3.333333333333e-01       1.439995967799e+24       3.538358291210e+24       2.496220288768e-06       1.433565527884e+01 
       9.261382544601e+08       8.791317427325e-16       4.992682024749e-04       1.854991685866e+12       1.419195241022e+04       1.532379461333e-05       1.314371004677e+13       2.882526237924e-04       2.024334920034e+24       1.967484072696e+18       9.491115766860e+18       3.525794455262e-08       1.627585620061e+22       3.333333333333e-01       1.400371919796e+24       3.440994154630e+24       2.745842302685e-06       1.303241384316e+01 
       9.197003519519e+08       8.914826631768e-16       5.027630795666e-04       1.829291984249e+12       1.419195240673e+04       1.543106117245e-05       1.305234363754e+13       2.902703912343e-04       1.968631747357e+24       1.926738668953e+18       9.294560506639e+18       3.525794455262e-08       1.582799709417e+22       3.333333333333e-01       1.361838197887e+24       3.346309163636e+24       2.995464314382e-06       1.194637931360e+01 
       9.133072014969e+08       9.040071015575e-16       5.062824202469e-04       1.803948335405e+12       1.419195240321e+04       1.553907859744e-05       1.296161234734e+13       2.923022830195e-04       1.914461346461e+24       1.886837077847e+18       9.102075786825e+18       3.525794455262e-08       1.539246162690e+22       3.333333333333e-01       1.324364799810e+24       3.254229596811e+24       3.245086323902e-06       1.102742701982e+01 
       9.069584920083e+08       9.167074956250e-16       5.098263973196e-04       1.778955806453e+12       1.419195239966e+04       1.564785214436e-05       1.287151176124e+13       2.943483980180e-04       1.861781540408e+24       1.847761824528e+18       8.913577308993e+18       3.525794455262e-08       1.496891069197e+22       3.333333333333e-01       1.287922548873e+24       3.164683761311e+24       3.494708331292e-06       1.023975362578e+01 
       9.006539145619e+08       9.295863173775e-16       5.133951817697e-04       1.754309532851e+12       1.419195239609e+04       1.575738710606e-05       1.278203749501e+13       2.964088357918e-04       1.810551312831e+24       1.809495796043e+18       8.728982520485e+18       3.525794455262e-08       1.455701451366e+22       3.333333333333e-01       1.252483071228e+24       3.077601937051e+24       3.744330336599e-06       9.557103351685e+00 
       8.943931623807e+08       9.426460735426e-16       5.169889464014e-04       1.730004717454e+12       1.419195239250e+04       1.586768881244e-05       1.269318519488e+13       2.984836966001e-04       1.760730776003e+24       1.772022233835e+18       8.548210578260e+18       3.525794455262e-08       1.415645239065e+22       3.333333333333e-01       1.218018773788e+24       2.992916322414e+24       3.993952339872e-06       8.959784362655e+00 
       8.881759308204e+08       9.558893060643e-16       5.206078694755e-04       1.706036629579e+12       1.419195238888e+04       1.597876263072e-05       1.260495053735e+13       3.005730814035e-04       1.712281139778e+24       1.735324726406e+18       8.371182313485e+18       3.525794455262e-08       1.376691244627e+22       3.333333333333e-01       1.184502822735e+24       2.910560981466e+24       4.243574341158e-06       8.432738196701e+00 
       8.820019173544e+08       9.693185925989e-16       5.242521237960e-04       1.682400604082e+12       1.419195238524e+04       1.609061396569e-05       1.251732922897e+13       3.026770918697e-04       1.665164681389e+24       1.699387202133e+18       8.197820196869e+18       3.525794455262e-08       1.338809138567e+22       3.333333333333e-01       1.151909122634e+24       2.830471792616e+24       4.493196340506e-06       7.964252716711e+00 
       8.758708215590e+08       9.829365470156e-16       5.279218876240e-04       1.659092040453e+12       1.419195238157e+04       1.620324825995e-05       1.243031700616e+13       3.047958303778e-04       1.619344716080e+24       1.664193922224e+18       8.028048304703e+18       3.525794455262e-08       1.301969425972e+22       3.333333333333e-01       1.120212296111e+24       2.752586398693e+24       4.742818337968e-06       7.545081498637e+00 
       8.697823450988e+08       9.967458199060e-16       5.316173410392e-04       1.636106401917e+12       1.419195237787e+04       1.631667099422e-05       1.234390963495e+13       3.069294000237e-04       1.574785568539e+24       1.629729473830e+18       7.861792285613e+18       3.525794455262e-08       1.266143423535e+22       3.333333333333e-01       1.089387664096e+24       2.676844158392e+24       4.992440333594e-06       7.167827403236e+00 
       8.637361917123e+08       1.010749099100e-15       5.353386604838e-04       1.613439214555e+12       1.419195237415e+04       1.643088768758e-05       1.225810291080e+13       3.090779046249e-04       1.531452545126e+24       1.595978763291e+18       7.698979327996e+18       3.525794455262e-08       1.231303237218e+22       3.333333333333e-01       1.059411226606e+24       2.603186099063e+24       5.242062327436e-06       6.826502270164e+00 
       8.577320671974e+08       1.024949110188e-15       5.390860314947e-04       1.591086066431e+12       1.419195237040e+04       1.654590389774e-05       1.217289265842e+13       3.112414487257e-04       1.489311906856e+24       1.562927009529e+18       7.539538128136e+18       3.525794455262e-08       1.197421740539e+22       3.333333333333e-01       1.030259644063e+24       2.531554870789e+24       5.491684319546e-06       6.516206695499e+00 
       8.517696793971e+08       1.039348617054e-15       5.428596323327e-04       1.569042606733e+12       1.419195236663e+04       1.666172522132e-05       1.208827473153e+13       3.134201376021e-04       1.448330843132e+24       1.530559737571e+18       7.383398858970e+18       3.525794455262e-08       1.164472553450e+22       3.333333333333e-01       1.001910219117e+24       2.461894701742e+24       5.741306309978e-06       6.232893345563e+00 
       8.458487381853e+08       1.053950422409e-15       5.466596485348e-04       1.547304544927e+12       1.419195236283e+04       1.677835729412e-05       1.200424501268e+13       3.156140772671e-04       1.408477446201e+24       1.498862772215e+18       7.230493139514e+18       3.525794455262e-08       1.132430021795e+22       3.333333333333e-01       9.743408789755e+23       2.394151354751e+24       5.990928298786e-06       5.973189442292e+00 
