# Matter power spectrum P(k) at redshift z=0
# for k=2.08005e-07 to 100.006 h/Mpc,
# number of wavenumbers equal to 1835
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.080052951307e-07       1.137180032701e+00 
       2.100981444932e-07       1.148222841473e+00 
       2.122120511008e-07       1.159372883595e+00 
       2.143472268212e-07       1.170631200378e+00 
       2.165038856540e-07       1.181998843244e+00 
       2.186822437521e-07       1.193476873825e+00 
       2.208825194430e-07       1.205066364063e+00 
       2.231049332509e-07       1.216768396309e+00 
       2.253497079190e-07       1.228584063423e+00 
       2.276170684315e-07       1.240514468879e+00 
       2.299072420364e-07       1.252560726866e+00 
       2.322204582680e-07       1.264723962394e+00 
       2.345569489701e-07       1.277005311394e+00 
       2.369169483193e-07       1.289405920831e+00 
       2.393006928483e-07       1.301926948807e+00 
       2.417084214697e-07       1.314569564669e+00 
       2.441403755000e-07       1.327334949121e+00 
       2.465967986835e-07       1.340224294330e+00 
       2.490779372170e-07       1.353238804042e+00 
       2.515840397747e-07       1.366379693690e+00 
       2.541153575325e-07       1.379648190513e+00 
       2.566721441936e-07       1.393045533664e+00 
       2.592546560140e-07       1.406572974331e+00 
       2.618631518277e-07       1.420231775851e+00 
       2.644978930733e-07       1.434023213829e+00 
       2.671591438197e-07       1.447948576258e+00 
       2.698471707928e-07       1.462009163636e+00 
       2.725622434021e-07       1.476206289093e+00 
       2.753046337677e-07       1.490541278710e+00 
       2.780746167479e-07       1.505015397116e+00 
       2.808724699662e-07       1.519630205975e+00 
       2.836984738396e-07       1.534386821483e+00 
       2.865529116066e-07       1.549286770914e+00 
       2.894360693551e-07       1.564331441155e+00 
       2.923482360520e-07       1.579522168209e+00 
       2.952897035714e-07       1.594860427943e+00 
       2.982607667239e-07       1.610347695360e+00 
       3.012617232867e-07       1.625985309362e+00 
       3.042928740329e-07       1.641774735006e+00 
       3.073545227619e-07       1.657717536519e+00 
       3.104469763297e-07       1.673815118246e+00 
       3.135705446798e-07       1.690069026819e+00 
       3.167255408742e-07       1.706480772263e+00 
       3.199122811248e-07       1.723051887410e+00 
       3.231310848251e-07       1.739783905016e+00 
       3.263822745820e-07       1.756678364313e+00 
       3.296661762484e-07       1.773736985299e+00 
       3.329831189560e-07       1.790961126419e+00 
       3.363334351478e-07       1.808352604142e+00 
       3.397174606118e-07       1.825912964449e+00 
       3.431355345145e-07       1.843643848589e+00 
       3.465879994348e-07       1.861546994318e+00 
       3.500752013988e-07       1.879623910485e+00 
       3.535974899138e-07       1.897876308523e+00 
       3.571552180039e-07       1.916306064788e+00 
       3.607487422451e-07       1.934914654103e+00 
       3.643784228010e-07       1.953704115142e+00 
       3.680446234591e-07       1.972675940374e+00 
       3.717477116671e-07       1.991831995215e+00 
       3.754880585699e-07       2.011174068664e+00 
       3.792660390465e-07       2.030703967090e+00 
       3.830820317479e-07       2.050423514404e+00 
       3.869364191348e-07       2.070334552230e+00 
       3.908295875161e-07       2.090438940072e+00 
       3.947619270876e-07       2.110738524760e+00 
       3.987338319708e-07       2.131235263258e+00 
       4.027457002531e-07       2.151931039332e+00 
       4.067979340269e-07       2.172827785780e+00 
       4.108909394304e-07       2.193927454157e+00 
       4.150251266882e-07       2.215232014976e+00 
       4.192009101522e-07       2.236743457896e+00 
       4.234187083437e-07       2.258463791872e+00 
       4.276789439944e-07       2.280395045387e+00 
       4.319820440898e-07       2.302539266616e+00 
       4.363284399114e-07       2.324898568084e+00 
       4.407185670799e-07       2.347474924484e+00 
       4.451528655992e-07       2.370270539141e+00 
       4.496317799000e-07       2.393287529540e+00 
       4.541557588851e-07       2.416528015250e+00 
       4.587252559737e-07       2.439994182228e+00 
       4.633407291469e-07       2.463688221996e+00 
       4.680026409941e-07       2.487612347356e+00 
       4.727114587589e-07       2.511768788727e+00 
       4.774676543862e-07       2.536159801515e+00 
       4.822717045692e-07       2.560787683325e+00 
       4.871240907975e-07       2.585654712144e+00 
       4.920252994051e-07       2.610763218442e+00 
       4.969758216194e-07       2.636115513752e+00 
       5.019761536101e-07       2.661713648115e+00 
       5.070267965395e-07       2.687561003844e+00 
       5.121282566118e-07       2.713658854488e+00 
       5.172810451249e-07       2.740010603555e+00 
       5.224856785208e-07       2.766618017161e+00 
       5.277426784379e-07       2.793483842884e+00 
       5.330525717629e-07       2.820610507534e+00 
       5.384158906839e-07       2.848000559268e+00 
       5.438331727435e-07       2.875656623462e+00 
       5.493049608930e-07       2.903581249021e+00 
       5.548318035464e-07       2.931777041200e+00 
       5.604142546358e-07       2.960246633940e+00 
       5.660528736664e-07       2.988992686982e+00 
       5.717482257732e-07       3.018018065021e+00 
