# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       9.999999990000e+08       7.385051966467e-16       4.528534464043e-04       2.208219921604e+12       1.418742610233e+04       1.418742610233e-05       1.418742610233e+13       2.614550586838e-04       2.751560535470e+24       2.476759024775e+18       1.327391516872e+15       3.541896786478e-08       2.212282323415e+23       3.333333333333e-01       1.903443976270e+24       4.876235222168e+24       4.201285722826e-12       2.000000000000e+09 
       9.930486583782e+08       7.488804561544e-16       4.560234192468e-04       2.177626451487e+12       1.418742609916e+04       1.428673808194e-05       1.408880446780e+13       2.632852434746e-04       2.675846458032e+24       2.425466845414e+18       1.299902042488e+15       3.541896786478e-08       2.151407444236e+23       3.333333333333e-01       1.851067332994e+24       4.742056962217e+24       5.861309699911e-05       1.433565510280e+02 
       9.861456388927e+08       7.594014776643e-16       4.592155837599e-04       2.147456834296e+12       1.418742609597e+04       1.438674524537e-05       1.399086838584e+13       2.651282395514e-04       2.602215787973e+24       2.375236896023e+18       1.272981858470e+15       3.541896786478e-08       2.092207645527e+23       3.333333333333e-01       1.800131926127e+24       4.611570855163e+24       1.172261896949e-04       7.167827802094e+01 
       9.792906046470e+08       7.700703089865e-16       4.624300927389e-04       2.117705197818e+12       1.418742609276e+04       1.448745245890e-05       1.389361309095e+13       2.669841365929e-04       2.530611196635e+24       2.326047178461e+18       1.246619175159e+15       3.541896786478e-08       2.034636834473e+23       3.333333333333e-01       1.750598097488e+24       4.484675304864e+24       1.758392822901e-04       4.778551921101e+01 
       9.724832220793e+08       7.808890267005e-16       4.656671026169e-04       2.088365751199e+12       1.418742608952e+04       1.458886462287e-05       1.379703385073e+13       2.688530249059e-04       2.460976932864e+24       2.277876150158e+18       1.220802447052e+15       3.541896786478e-08       1.978650186584e+23       3.333333333333e-01       1.702427280161e+24       4.361271510780e+24       2.344523747862e-04       3.583913959260e+01 
       9.657231599465e+08       7.918597365599e-16       4.689267734648e-04       2.059432783812e+12       1.418742608626e+04       1.469098667195e-05       1.370112596572e+13       2.707349954291e-04       2.393258779594e+24       2.230702714676e+18       1.195520367749e+15       3.541896786478e-08       1.924204110794e+23       3.333333333333e-01       1.655581968469e+24       4.241263391040e+24       2.930654671848e-04       2.867131175356e+01 
       9.590100893081e+08       8.029845739020e-16       4.722092598968e-04       2.030900664148e+12       1.418742608298e+04       1.479382357533e-05       1.360588476907e+13       2.726301397379e-04       2.327404011641e+24       2.184506212472e+18       1.170761864995e+15       3.541896786478e-08       1.871256215526e+23       3.333333333333e-01       1.610025688767e+24       4.124557507638e+24       3.516785594875e-04       2.389275983275e+01 
       9.523436835104e+08       8.142657040632e-16       4.755147256219e-04       2.002763838719e+12       1.418742607967e+04       1.489738033698e-05       1.351130562643e+13       2.745385500487e-04       2.263361354646e+24       2.139266411850e+18       1.146516095839e+15       3.541896786478e-08       1.819765275681e+23       3.333333333333e-01       1.565722971052e+24       4.011062993679e+24       4.102916516958e-04       2.047950844715e+01 
       9.457236181700e+08       8.257053228009e-16       4.788433288923e-04       1.975016830975e+12       1.418742607634e+04       1.500166199592e-05       1.341738393563e+13       2.764603192233e-04       2.201080945157e+24       2.094963500100e+18       1.122772441877e+15       3.541896786478e-08       1.769691200540e+23       3.333333333333e-01       1.522639321336e+24       3.900691482634e+24       4.689047438114e-04       1.791956990064e+01 
       9.391495711587e+08       8.373056567208e-16       4.821952315979e-04       1.947654240242e+12       1.418742607299e+04       1.510667362642e-05       1.332411512648e+13       2.783955407738e-04       2.140514291803e+24       2.051578074819e+18       1.099520504609e+15       3.541896786478e-08       1.720995002554e+23       3.333333333333e-01       1.480741194798e+24       3.793357039534e+24       5.275178358359e-04       1.592850658246e+01 
