# Matter power spectrum P(k) at redshift z=0
# for k=2.07862e-07 to 100.943 h/Mpc,
# number of wavenumbers equal to 1836
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.078615163186e-07       1.139388475839e+00 
       2.099529190479e-07       1.150452730129e+00 
       2.120653644667e-07       1.161624426020e+00 
       2.141990642967e-07       1.172904606845e+00 
       2.163542323894e-07       1.184294326069e+00 
       2.185310847482e-07       1.195794647384e+00 
       2.207298395498e-07       1.207406644815e+00 
       2.229507171659e-07       1.219131402814e+00 
       2.251939401859e-07       1.230970016364e+00 
       2.274597334383e-07       1.242923591082e+00 
       2.297483240141e-07       1.254993243322e+00 
       2.320599412888e-07       1.267180100275e+00 
       2.343948169462e-07       1.279485300082e+00 
       2.367531850009e-07       1.291909991933e+00 
       2.391352818220e-07       1.304455336181e+00 
       2.415413461572e-07       1.317122504442e+00 
       2.439716191559e-07       1.329912679714e+00 
       2.464263443941e-07       1.342827056479e+00 
       2.489057678985e-07       1.355866840821e+00 
       2.514101381712e-07       1.369033250534e+00 
       2.539397062146e-07       1.382327515239e+00 
       2.564947255565e-07       1.395750876496e+00 
       2.590754522758e-07       1.409304587922e+00 
       2.616821450276e-07       1.422989915310e+00 
       2.643150650697e-07       1.436808136740e+00 
       2.669744762886e-07       1.450760542706e+00 
       2.696606452256e-07       1.464848436234e+00 
       2.723738411042e-07       1.479073133001e+00 
       2.751143358564e-07       1.493435954620e+00 
       2.778824041504e-07       1.507938188822e+00 
       2.806783234179e-07       1.522581380388e+00 
       2.835023738821e-07       1.537366655818e+00 
       2.863548385854e-07       1.552295538866e+00 
       2.892360034184e-07       1.567369425265e+00 
       2.921461571480e-07       1.582589654412e+00 
       2.950855914464e-07       1.597957703037e+00 
       2.980546009208e-07       1.613474983423e+00 
       3.010534831423e-07       1.629143029361e+00 
       3.040825386762e-07       1.644963145420e+00 
       3.071420711119e-07       1.660936881250e+00 
       3.102323870933e-07       1.677065741199e+00 
       3.133537963496e-07       1.693351199361e+00 
       3.165066117264e-07       1.709794817383e+00 
       3.196911492171e-07       1.726398108613e+00 
       3.229077279943e-07       1.743162625420e+00 
       3.261566704420e-07       1.760089703840e+00 
       3.294383021880e-07       1.777181644057e+00 
       3.327529521363e-07       1.794439234613e+00 
       3.361009525001e-07       1.811864487008e+00 
       3.394826388354e-07       1.829458950378e+00 
       3.428983500741e-07       1.847224268345e+00 
       3.463484285586e-07       1.865162183351e+00 
       3.498332200754e-07       1.883274205295e+00 
       3.533530738906e-07       1.901562107981e+00 
       3.569083427841e-07       1.920027596822e+00 
       3.604993830854e-07       1.938672313832e+00 
       3.641265547092e-07       1.957498242057e+00 
       3.677902211916e-07       1.976506910898e+00 
       3.714907497262e-07       1.995700167127e+00 
       3.752285112014e-07       2.015079803214e+00 
       3.790038802370e-07       2.034647629038e+00 
       3.828172352224e-07       2.054405472052e+00 
       3.866689583539e-07       2.074355177455e+00 
       3.905594356733e-07       2.094498608363e+00 
       3.944890571066e-07       2.114837689079e+00 
       3.984582165032e-07       2.135374233313e+00 
       4.024673116751e-07       2.156110201665e+00 
       4.065167444367e-07       2.177047530682e+00 
       4.106069206456e-07       2.198188175716e+00 
       4.147382502428e-07       2.219534111107e+00 
       4.189111472939e-07       2.241087330367e+00 
       4.231260300306e-07       2.262849846365e+00 
       4.273833208928e-07       2.284823691519e+00 
       4.316834465706e-07       2.307010917982e+00 
       4.360268380473e-07       2.329413603148e+00 
       4.404139306428e-07       2.352033814339e+00 
       4.448451640565e-07       2.374873708548e+00 
       4.493209824123e-07       2.397935377329e+00 
       4.538418343023e-07       2.421220996873e+00 
       4.584081728325e-07       2.444732735965e+00 
       4.630204556675e-07       2.468472790384e+00 
       4.676791450768e-07       2.492443377229e+00 
       4.723847079811e-07       2.516646760201e+00 
       4.771376159990e-07       2.541085117553e+00 
       4.819383454943e-07       2.565760821076e+00 
       4.867873776237e-07       2.590676107541e+00 
       4.916851983851e-07       2.615833410341e+00 
       4.966322986663e-07       2.641234944880e+00 
       5.016291742941e-07       2.666882788660e+00 
       5.066763260842e-07       2.692780339126e+00 
       5.117742598912e-07       2.718929107764e+00 
       5.169234866593e-07       2.745331799743e+00 
       5.221245224737e-07       2.771990642053e+00 
       5.273778886121e-07       2.798908842816e+00 
       5.326841115971e-07       2.826088193721e+00 
       5.380437232489e-07       2.853531229347e+00 
       5.434572607386e-07       2.881240996737e+00 
       5.489252666421e-07       2.909220103399e+00 
       5.544482889943e-07       2.937470652921e+00 
       5.600268813445e-07       2.965995534814e+00 
       5.656616028111e-07       2.994797413498e+00 
       5.713530181385e-07       3.023879161170e+00 
       5.771016977530e-07       3.053243120469e+00 
       5.829082178203e-07       3.082892243111e+00 
       5.887731603033e-07       3.112829214726e+00 
       5.946971130204e-07       3.143057005633e+00 
       6.006806697040e-07       3.173578273939e+00 
       6.067244300608e-07       3.204395925803e+00 
       6.128289998311e-07       3.235512840274e+00 
       6.189949908500e-07       3.266931906894e+00 
       6.252230211087e-07       3.298656085895e+00 
       6.315137148162e-07       3.330688292552e+00 
       6.378677024619e-07       3.363031629382e+00 
       6.442856208792e-07       3.395689003749e+00 
       6.507681133087e-07       3.428663471427e+00 
       6.573158294631e-07       3.461958210571e+00 
       6.639294255922e-07       3.495576231114e+00 
       6.706095645486e-07       3.529520705986e+00 
       6.773569158544e-07       3.563794769203e+00 
       6.841721557679e-07       3.598401695502e+00 
       6.910559673516e-07       3.633344712206e+00 
       6.980090405408e-07       3.668626982651e+00 
       7.050320722124e-07       3.704251934663e+00 
       7.121257662551e-07       3.740222803531e+00 
       7.192908336398e-07       3.776542955745e+00 
       7.265279924908e-07       3.813215798064e+00 
       7.338379681576e-07       3.850244779089e+00 
       7.412214932882e-07       3.887633336945e+00 
       7.486793079020e-07       3.925384954966e+00 
       7.562121594639e-07       3.963503176605e+00 
       7.638208029598e-07       4.001991581808e+00 
       7.715060009717e-07       4.040853702479e+00 
       7.792685237544e-07       4.080093200245e+00 
       7.871091493125e-07       4.119713739592e+00 
       7.950286634786e-07       4.159719025427e+00 
       8.030278599921e-07       4.200112698049e+00 
       8.111075405784e-07       4.240898710957e+00 
       8.192685150297e-07       4.282080784943e+00 
       8.275116012856e-07       4.323662765184e+00 
       8.358376255159e-07       4.365648351013e+00 
       8.442474222025e-07       4.408042017135e+00 
       8.527418342236e-07       4.450847168543e+00 
       8.613217129382e-07       4.494067797253e+00 
       8.699879182709e-07       4.537708318437e+00 
       8.787413187988e-07       4.581772674024e+00 
       8.875827918381e-07       4.626264763429e+00 
       8.965132235320e-07       4.671189290270e+00 
       9.055335089398e-07       4.716549783880e+00 
       9.146445521264e-07       4.762350484024e+00 
       9.238472662530e-07       4.808596442159e+00 
       9.331425736686e-07       4.855291241601e+00 
       9.425314060023e-07       4.902439496650e+00 
       9.520147042569e-07       4.950045601668e+00 
       9.615934189032e-07       4.998114023715e+00 
       9.712685099750e-07       5.046648915101e+00 
       9.810409471657e-07       5.095655368217e+00 
       9.909117099251e-07       5.145137763922e+00 
       1.000881787558e-06       5.195100691029e+00 
       1.010952179323e-06       5.245548630028e+00 
       1.021123894532e-06       5.296486554456e+00 
       1.031397952654e-06       5.347919118174e+00 
       1.041775383413e-06       5.399851121039e+00 
       1.052257226896e-06       5.452287429917e+00 
       1.062844533652e-06       5.505232927936e+00 
       1.073538364804e-06       5.558692678737e+00 
       1.084339792148e-06       5.612671651967e+00 
       1.095249898265e-06       5.667174452522e+00 
       1.106269776629e-06       5.722206459949e+00 
       1.117400531716e-06       5.777773251789e+00 
       1.128643279114e-06       5.833879376530e+00 
       1.139999145635e-06       5.890530266808e+00 
       1.151469269431e-06       5.947731415898e+00 
       1.163054800103e-06       6.005488019306e+00 
       1.174756898818e-06       6.063805763784e+00 
       1.186576738430e-06       6.122689241918e+00 
       1.198515503591e-06       6.182145099401e+00 
       1.210574390871e-06       6.242177857481e+00 
       1.222754608883e-06       6.302793974712e+00 
       1.235057378398e-06       6.363998092967e+00 
       1.247483932469e-06       6.425796934745e+00 
       1.260035516559e-06       6.488196321032e+00 
       1.272713388658e-06       6.551201143551e+00 
       1.285518819417e-06       6.614817834387e+00 
       1.298453092268e-06       6.679052312387e+00 
       1.311517503560e-06       6.743910535439e+00 
       1.324713362683e-06       6.809398619648e+00 
       1.338041992202e-06       6.875522251668e+00 
       1.351504727988e-06       6.942288337978e+00 
       1.365102919355e-06       7.009702791377e+00 
       1.378837929191e-06       7.077771862778e+00 
       1.392711134099e-06       7.146501940304e+00 
       1.406723924530e-06       7.215899450239e+00 
       1.420877704927e-06       7.285970843690e+00 
       1.435173893864e-06       7.356722678868e+00 
       1.449613924187e-06       7.428161563330e+00 
       1.464199243158e-06       7.500294156304e+00 
       1.478931312603e-06       7.573127219155e+00 
       1.493811609054e-06       7.646667528066e+00 
       1.508841623900e-06       7.720921987770e+00 
       1.524022863535e-06       7.795897493865e+00 
       1.539356849511e-06       7.871601065081e+00 
       1.554845118689e-06       7.948039774849e+00 
       1.570489223390e-06       8.025221128056e+00 
       1.586290731559e-06       8.103151276880e+00 
